shop,date,mostvisitnum
s_3480,27,10
s_3699,6,16
s_5917,20,12
s_9554,27,47
s_17475,23,15
s_17968,4,7
s_20409,30,14
s_32485,26,17
s_35987,20,3
s_43374,5,12
s_43525,19,19
s_52283,20,14
s_53891,6,7
s_53909,20,12
s_60170,27,8
s_63015,27,18
s_88028,19,9
s_94543,6,8
s_143539,13,40
s_146040,24,7
s_181488,26,50
s_186761,13,31
s_200577,6,9
s_202436,6,8
s_207809,27,7
s_225064,31,4
s_252174,5,17
s_259001,1,6
s_288430,27,82
s_298098,5,34
s_354618,5,15
s_374593,19,6
s_404765,26,25
s_411087,6,7
s_417396,14,28
s_417478,11,14
s_482927,27,10
s_491119,31,6
s_494139,28,19
s_512736,13,20
s_525479,13,6
s_528742,19,10
s_543988,18,30
s_567970,10,20
s_580441,26,7
s_635816,19,16
s_655906,28,17
s_688994,28,9
s_700747,24,13
s_742119,27,12
s_767658,17,41
s_771873,26,10
s_779658,11,19
s_785669,24,3
s_792040,11,5
s_810403,27,16
s_835344,20,8
s_847392,5,3
s_929819,28,29
s_1030512,30,3
s_1219089,13,6
s_1219090,19,11
s_1347287,5,5
s_1392131,26,6
s_1426013,19,13
s_1465966,27,14
s_1468123,5,5
s_1877554,26,13
s_1914622,19,8
s_2871718,6,13
s_2884664,30,5
s_3020558,20,9
s_3025546,20,3
s_3065094,27,11
s_3334136,31,2
s_3525977,26,9
s_3666815,9,3
s_3683331,26,39
s_3704765,26,4
s_3766026,17,4
s_3770035,6,1
s_3842683,13,14
s_3859817,26,21
s_3878839,7,5
s_3894979,6,11
s_3901648,17,2
s_3963602,8,1
s_3991644,27,31
s_3992443,28,23
s_4036264,27,2
s_4045255,31,10
s_4053407,31,3
s_4058005,30,3
